"County","Sector","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"STANISLAUS","Non-Residential","    3084.423916","    3040.987826","    2964.629767","    3006.612321","    3027.304561","    3035.043044","    3052.022931","    3029.013037","    2979.238802","    2961.133426","    2806.002370","    2786.632665","    2849.082562","    2968.373058","    2981.958802","    3029.605729","    2975.815976","    2878.938764","    2889.609889","    2853.880348","    2704.937058","    2796.596717","    2703.323119","    2626.015697","    2508.892043","    2447.023832","    2332.549228","    2283.322095","    2187.753688","    2269.231228","    2302.615775","    2217.459032","   88580.029306"
"STANISLAUS","Residential","    2024.334681","    2014.983126","    1798.191050","    1802.406252","    1841.850761","    1719.715298","    1702.147906","    1717.162305","    1693.417839","    1692.160003","    1661.569396","    1630.366151","    1714.649532","    1709.150943","    1677.357681","    1731.836812","    1651.979906","    1618.975442","    1609.939496","    1504.594058","    1429.157446","    1447.537253","    1377.489813","    1367.577234","    1331.017855","    1331.309900","    1244.928194","    1255.780030","    1219.004491","    1291.823418","    1301.658558","    1196.224573","   50310.297403"
"STANISLAUS","Total","    5108.758597","    5055.970952","    4762.820817","    4809.018572","    4869.155322","    4754.758342","    4754.170838","    4746.175342","    4672.656641","    4653.293430","    4467.571765","    4416.998815","    4563.732094","    4677.524001","    4659.316482","    4761.442542","    4627.795882","    4497.914206","    4499.549385","    4358.474406","    4134.094504","    4244.133970","    4080.812932","    3993.592931","    3839.909898","    3778.333732","    3577.477421","    3539.102124","    3406.758180","    3561.054646","    3604.274334","    3413.683605","  138890.326708"
"SUTTER","Non-Residential","     372.627962","     357.925836","     351.822393","     358.407773","     354.962520","     356.828308","     373.033487","     371.848172","     372.121474","     356.123193","     341.429402","     334.214398","     348.605047","     351.493598","     347.247625","     351.232856","     309.951973","     310.346394","     296.337366","     310.088827","     302.551386","     307.699577","     296.599484","     274.014622","     281.652166","     272.285677","     265.814439","     269.088433","     256.386884","     251.702983","     241.586002","     237.800517","   10183.830774"
"SUTTER","Residential","     319.964701","     314.625861","     284.784156","     278.235845","     291.471803","     274.174408","     274.079897","     277.375683","     275.500161","     279.446108","     271.513476","     265.639194","     276.900412","     277.339045","     273.800274","     275.778564","     258.988680","     253.908396","     245.299160","     228.446484","     218.281612","     232.958914","     226.282229","     222.022397","     221.102650","     219.973839","     203.000605","     203.671153","     200.471983","     201.911746","     194.811427","     191.661435","    8033.422298"
"SUTTER","Total","     692.592664","     672.551697","     636.606549","     636.643617","     646.434323","     631.002716","     647.113384","     649.223855","     647.621635","     635.569302","     612.942878","     599.853592","     625.505459","     628.832644","     621.047899","     627.011420","     568.940653","     564.254790","     541.636526","     538.535310","     520.832998","     540.658491","     522.881712","     496.037019","     502.754816","     492.259516","     468.815044","     472.759586","     456.858867","     453.614728","     436.397429","     429.461952","   18217.253071"
"TEHAMA","Non-Residential","     287.676448","     272.287836","     270.529077","     275.765000","     278.236300","     267.421388","     267.091707","     261.990803","     269.868543","     267.308059","     259.122906","     252.648584","     263.951190","     274.975495","     278.078424","     249.316560","     238.204543","     246.637439","     242.365756","     205.578677","     302.241154","     287.812742","     287.022247","     266.182281","     276.526692","     266.269342","     258.628672","     253.443873","     244.048769","     240.290545","     235.090418","     248.855515","    8395.466985"
"TEHAMA","Residential","     272.891417","     263.760993","     238.822720","     231.861848","     240.473949","     229.986091","     229.753696","     231.234878","     237.487218","     238.877118","     233.933574","     233.322096","     237.983447","     234.108508","     230.506039","     227.471812","     214.091026","     216.066137","     202.299822","     198.324868","     189.920926","     200.151209","     197.215782","     191.372709","     187.591870","     186.971977","     177.708536","     176.948991","     173.922991","     176.012138","     175.080818","     171.136295","    6847.291499"
"TEHAMA","Total","     560.567865","     536.048829","     509.351797","     507.626848","     518.710250","     497.407480","     496.845403","     493.225680","     507.355761","     506.185177","     493.056480","     485.970680","     501.934637","     509.084003","     508.584463","     476.788371","     452.295569","     462.703576","     444.665577","     403.903545","     492.162080","     487.963951","     484.238028","     457.554990","     464.118562","     453.241319","     436.337209","     430.392864","     417.971760","     416.302683","     410.171236","     419.991809","   15242.758482"
"TRINITY","Non-Residential","     147.918343","     139.044118","     125.405784","     120.411967","     125.816034","     117.730556","     101.051829","     107.412887","     108.320334","     100.586127","     109.583381","      77.454181","      83.031267","       2.423341","       1.991885","      62.783185","      63.824159","       6.957762","      15.714568","      15.087174","       2.208223","       2.480198","       2.799628","       2.312930","       2.864903","       2.968178","       3.002780","       3.086261","       6.321745","       9.538606","      10.250799","      10.094531","    1690.477664"
