Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1245973,-,-,-,40.73,-73.98,-5,11,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,GHI,Cloud Type,Solar Zenith Angle,Precipitable Water,Wind Direction
2000,1,1,0,0,0,0.067,3,100,0,1020,0,0,162.32,0.716,247.8
2000,1,1,0,30,0,0.067,3,100,0,1020,0,0,161.16,0.717,247.8
2000,1,1,1,0,0,0.067,3.1,100,0,1020,0,1,158.17000000000002,0.718,247.60000000000002
2000,1,1,1,30,0,0.067,3.1,100,0,1020,0,0,153.98,0.719,247.60000000000002
2000,1,1,2,0,0,0.067,3.1,100,0,1020,0,0,149.09,0.721,248.10000000000002
2000,1,1,2,30,0,0.067,3.1,100,0,1020,0,1,143.8,0.719,248.10000000000002
2000,1,1,3,0,0,0.067,3.2,100,0,1020,0,1,138.3,0.718,249
2000,1,1,3,30,0,0.067,3.1,100,0,1020,0,1,132.67000000000002,0.717,249
2000,1,1,4,0,0,0.067,3.1,100,0,1020,0,1,127,0.717,251.8
2000,1,1,4,30,0,0.067,3,100,0,1020,0,4,121.32000000000001,0.722,251.8
2000,1,1,5,0,0,0.067,2.9000000000000004,100,0,1020,0,1,115.68,0.728,253.20000000000002
2000,1,1,5,30,0,0.067,2.7,100,0,1020,0,1,110.11,0.739,253.20000000000002
2000,1,1,6,0,0,0.067,2.6,99.49000000000001,0,1020,0,4,104.65,0.751,247.8
2000,1,1,6,30,0,0.067,2.6,99.5,0,1020,0,1,99.31,0.77,247.8
2000,1,1,7,0,0,0.067,2.6,99.53,0,1020,0,4,94.15,0.79,236.60000000000002
2000,1,1,7,30,0,0.067,2.7,99.54,0,1020,0,4,89.2,0.8140000000000001,236.60000000000002
2000,1,1,8,0,0,0.067,2.9000000000000004,100,1,1020,12,4,84.52,0.839,227.20000000000002
2000,1,1,8,30,0,0.067,3,96.23,1,1020,28,4,80.14,0.862,227.20000000000002
2000,1,1,9,0,1,0.067,3.3000000000000003,94.94,2,1020,43,4,76.14,0.886,222.10000000000002
2000,1,1,9,30,1,0.067,3.4000000000000004,94.94,2,1020,139,4,72.57000000000001,0.901,222.10000000000002
