Year,Month,Day,Hour,Minute,Dew Point,Temperature,Cloud Type,GHI,Relative Humidity,Pressure,Surface Albedo,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed
2021,1,1,0,0,-12.600000000000001,-4.2,8,0,52.13,789,0.16,167.23,0.4,72,1.2000000000000002
2021,1,1,0,30,-12.600000000000001,-4.3,8,0,52.59,790,0.16,166.43,0.30000000000000004,75,1.2000000000000002
2021,1,1,1,0,-12.700000000000001,-4.3,4,0,52.04,790,0.16,162.97,0.30000000000000004,78,1.2000000000000002
2021,1,1,1,30,-12.700000000000001,-4.3,7,0,52.04,790,0.16,158.09,0.30000000000000004,76,1.1
2021,1,1,2,0,-12.8,-4.3,7,0,51.47,790,0.16,152.55,0.30000000000000004,74,1.1
2021,1,1,2,30,-12.8,-4.2,8,0,51.09,790,0.16,146.69,0.30000000000000004,68,1
2021,1,1,3,0,-13,-4.2,8,0,50.51,790,0.16,140.69,0.30000000000000004,61,1
2021,1,1,3,30,-12.9,-4.2,4,0,50.58,791,0.16,134.61,0.30000000000000004,57,1
2021,1,1,4,0,-13.200000000000001,-4.3,4,0,50.050000000000004,791,0.16,128.52,0.30000000000000004,52,0.9
2021,1,1,4,30,-13.200000000000001,-4.4,4,0,50.43,791,0.16,122.45,0.30000000000000004,50,0.9
2021,1,1,5,0,-13.4,-4.5,4,0,49.980000000000004,792,0.16,116.42,0.30000000000000004,47,0.9
2021,1,1,5,30,-13.4,-4.7,4,0,50.74,792,0.16,110.47,0.30000000000000004,45,0.9
2021,1,1,6,0,-13.600000000000001,-4.9,8,0,50.47,793,0.16,104.61,0.30000000000000004,43,0.9
2021,1,1,6,30,-13.600000000000001,-5.1000000000000005,8,0,51.24,793,0.16,98.88,0.30000000000000004,39,0.9
2021,1,1,7,0,-13.700000000000001,-5.2,7,0,51.47,793,0.16,93.32000000000001,0.2,36,0.9
2021,1,1,7,30,-13.600000000000001,-4.2,8,18,47.79,794,0.16,87.72,0.2,34,1
2021,1,1,8,0,-12.600000000000001,-3.1,4,62,47.94,794,0.16,82.72,0.2,31,1.1
2021,1,1,8,30,-12.600000000000001,-1.6,8,147,42.910000000000004,794,0.16,77.92,0.2,43,1.3
