Year,Month,Day,Hour,Minute,Dew Point,Temperature,Cloud Type,GHI,Relative Humidity,Pressure,Surface Albedo,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed
2021,1,1,0,0,-12.700000000000001,-4,4,0,50.660000000000004,791,0.16,167.31,0.30000000000000004,72,1.2000000000000002
2021,1,1,0,30,-12.700000000000001,-4.1000000000000005,8,0,51.04,791,0.16,166.49,0.30000000000000004,75,1.2000000000000002
2021,1,1,1,0,-12.8,-4.1000000000000005,7,0,50.910000000000004,791,0.16,163,0.30000000000000004,78,1.2000000000000002
2021,1,1,1,30,-12.8,-4.1000000000000005,8,0,50.910000000000004,791,0.16,158.1,0.30000000000000004,76,1.1
2021,1,1,2,0,-12.8,-4.1000000000000005,7,0,50.800000000000004,791,0.16,152.55,0.30000000000000004,74,1.1
2021,1,1,2,30,-12.8,-4.1000000000000005,8,0,50.800000000000004,791,0.16,146.68,0.30000000000000004,68,1.1
2021,1,1,3,0,-12.9,-4.1000000000000005,4,0,50.46,791,0.16,140.67000000000002,0.30000000000000004,61,1
2021,1,1,3,30,-12.9,-4.1000000000000005,4,0,50.52,792,0.16,134.58,0.30000000000000004,57,1
2021,1,1,4,0,-13.100000000000001,-4.2,1,0,50.09,792,0.16,128.48,0.30000000000000004,52,0.9
2021,1,1,4,30,-13,-4.3,1,0,50.53,793,0.16,122.41,0.30000000000000004,50,0.9
2021,1,1,5,0,-13.3,-4.3,4,0,49.67,793,0.16,116.37,0.30000000000000004,47,0.9
2021,1,1,5,30,-13.3,-4.5,4,0,50.42,793,0.16,110.41,0.30000000000000004,45,0.9
2021,1,1,6,0,-13.5,-4.7,8,0,50.15,794,0.16,104.56,0.30000000000000004,43,0.9
2021,1,1,6,30,-13.5,-4.800000000000001,7,0,50.53,794,0.16,98.82000000000001,0.2,39,0.9
2021,1,1,7,0,-13.5,-4.9,8,0,50.82,794,0.16,93.25,0.2,36,0.9
2021,1,1,7,30,-13.5,-3.9000000000000004,4,14,47.19,795,0.16,87.65,0.2,34,1
2021,1,1,8,0,-12.5,-2.9000000000000004,4,62,47.69,795,0.16,82.65,0.2,31,1.1
2021,1,1,8,30,-12.5,-1.4000000000000001,1,210,42.75,796,0.16,77.84,0.2,43,1.4000000000000001
2021,1,1,9,0,-13.5,0,0,300,35.54,796,0.16,73.38,0.2,54,1.7000000000000002
2021,1,1,9,30,-13.5,1.2000000000000002,0,384,32.59,796,0.16,69.34,0.2,63,1.8
2021,1,1,10,0,-14.9,2.4000000000000004,0,456,26.560000000000002,796,0.16,65.8,0.2,72,1.9000000000000001
2021,1,1,10,30,-14.9,3.1,0,515,25.28,796,0.16,62.870000000000005,0.2,78,1.7000000000000002
2021,1,1,11,0,-15.8,3.7,0,559,22.48,796,0.16,60.620000000000005,0.2,85,1.5
2021,1,1,11,30,-15.8,4.1000000000000005,8,472,21.86,796,0.16,59.15,0.2,102,1.2000000000000002
2021,1,1,12,0,-16.6,4.5,7,373,19.97,795,0.16,58.5,0.2,119,1
2021,1,1,12,30,-16.6,4.7,1,589,19.69,795,0.16,58.71,0.30000000000000004,170,0.9
2021,1,1,13,0,-17.2,4.800000000000001,4,304,18.53,795,0.16,59.77,0.30000000000000004,221,0.8
2021,1,1,13,30,-17.2,4.7,4,295,18.66,795,0.16,61.63,0.30000000000000004,236,0.8
2021,1,1,14,0,-16.7,4.6000000000000005,4,176,19.71,796,0.16,64.22,0.30000000000000004,251,0.8
2021,1,1,14,30,-16.7,3.9000000000000004,0,415,20.7,796,0.16,67.46000000000001,0.30000000000000004,253,0.8
2021,1,1,15,0,-11.200000000000001,3.2,0,337,34.07,796,0.16,71.25,0.30000000000000004,254,0.7000000000000001
2021,1,1,15,30,-11.200000000000001,1.4000000000000001,7,158,38.72,796,0.16,75.51,0.4,253,0.8
2021,1,1,16,0,-11.100000000000001,-0.30000000000000004,6,67,44.1,796,0.16,80.15,0.4,252,0.9
2021,1,1,16,30,-11.100000000000001,-0.30000000000000004,8,30,44.1,796,0.16,85.08,0.4,252,0.9
2021,1,1,17,0,-12.9,-2.3000000000000003,7,0,44,797,0.17,90.02,0.4,260,1.1
2021,1,1,17,30,-12.9,-2.7,8,0,45.32,797,0.17,95.95,0.4,266,1.1
2021,1,1,18,0,-12.9,-3,7,0,46.33,798,0.17,101.61,0.4,272,1.1
2021,1,1,18,30,-12.9,-3.2,7,0,47.03,798,0.17,107.4,0.4,280,1.1
2021,1,1,19,0,-12.9,-3.5,8,0,48.35,798,0.17,113.31,0.5,288,1.1
2021,1,1,19,30,-12.9,-3.6,8,0,48.72,798,0.17,119.31,0.5,295,1.1
