Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1844827,-,b'New Mexico',b'United States',35.68,-106.07,-7,1972,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,Dew Point,Temperature,Cloud Type,GHI,Relative Humidity,Pressure,Surface Albedo,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed
2021,1,1,0,0,-12.200000000000001,-4.2,4,0,53.620000000000005,793,0.17,167.18,0.4,72,1.2000000000000002
2021,1,1,0,30,-12.200000000000001,-4.2,7,0,53.620000000000005,793,0.17,166.42000000000002,0.4,75,1.2000000000000002
2021,1,1,1,0,-12.5,-4.3,8,0,53.01,793,0.17,162.99,0.4,78,1.2000000000000002
2021,1,1,1,30,-12.5,-4.2,7,0,52.620000000000005,793,0.17,158.13,0.4,76,1.1
2021,1,1,2,0,-12.700000000000001,-4.2,8,0,51.660000000000004,794,0.17,152.6,0.30000000000000004,74,1.1
2021,1,1,2,30,-12.700000000000001,-4.1000000000000005,7,0,51.28,794,0.17,146.75,0.30000000000000004,68,1.1
2021,1,1,3,0,-12.9,-4,8,0,50.120000000000005,794,0.17,140.75,0.30000000000000004,61,1
2021,1,1,3,30,-12.9,-4,8,0,50.120000000000005,794,0.17,134.68,0.30000000000000004,57,1
2021,1,1,4,0,-13.100000000000001,-4.1000000000000005,0,0,49.63,795,0.17,128.59,0.30000000000000004,52,0.9
2021,1,1,4,30,-13.100000000000001,-4.2,1,0,50.01,795,0.17,122.52,0.30000000000000004,50,0.9
2021,1,1,5,0,-13.3,-4.3,1,0,49.52,795,0.17,116.49000000000001,0.30000000000000004,47,0.9
2021,1,1,5,30,-13.3,-4.6000000000000005,4,0,50.71,796,0.17,110.54,0.30000000000000004,45,0.9
2021,1,1,6,0,-13.5,-4.800000000000001,4,0,50.410000000000004,796,0.17,104.68,0.30000000000000004,43,0.9
2021,1,1,6,30,-13.5,-5,7,0,51.18,796,0.17,98.96000000000001,0.30000000000000004,39,0.9
2021,1,1,7,0,-13.600000000000001,-5.1000000000000005,7,0,51.480000000000004,797,0.17,93.39,0.30000000000000004,36,0.9
2021,1,1,7,30,-13.600000000000001,-4.1000000000000005,8,17,47.74,797,0.17,87.79,0.2,34,1
2021,1,1,8,0,-12.5,-3,4,60,47.85,798,0.17,82.79,0.2,31,1
2021,1,1,8,30,-12.5,-1.5,8,140,42.83,798,0.17,78,0.2,43,1.2000000000000002
2021,1,1,9,0,-13,0,8,267,36.92,798,0.17,73.53,0.2,54,1.3
2021,1,1,9,30,-13,1.2000000000000002,0,380,33.9,799,0.17,69.49,0.2,63,1.4000000000000001
2021,1,1,10,0,-14.200000000000001,2.4000000000000004,8,374,28.19,799,0.17,65.96000000000001,0.2,72,1.5
2021,1,1,10,30,-14.200000000000001,3.1,0,512,26.82,799,0.17,63.02,0.2,78,1.3
2021,1,1,11,0,-15.100000000000001,3.8000000000000003,8,426,23.67,798,0.17,60.77,0.2,85,1
2021,1,1,11,30,-15.100000000000001,4.2,8,443,23.01,798,0.17,59.28,0.2,102,0.8
2021,1,1,12,0,-15.700000000000001,4.6000000000000005,7,375,21.330000000000002,798,0.17,58.620000000000005,0.30000000000000004,119,0.5
2021,1,1,12,30,-15.700000000000001,4.800000000000001,7,365,21.04,798,0.17,58.82,0.30000000000000004,170,0.5
2021,1,1,13,0,-16.3,5,7,412,19.73,798,0.17,59.86,0.30000000000000004,221,0.5
2021,1,1,13,30,-16.3,4.800000000000001,7,324,20.01,798,0.17,61.7,0.30000000000000004,236,0.7000000000000001
2021,1,1,14,0,-15.5,4.7,7,329,21.47,798,0.17,64.28,0.30000000000000004,251,0.9
2021,1,1,14,30,-15.5,4,6,187,22.55,798,0.17,67.5,0.30000000000000004,253,0.9
2021,1,1,15,0,-10.8,3.4000000000000004,7,160,34.6,798,0.17,71.28,0.4,254,0.8
2021,1,1,15,30,-10.8,1.6,7,116,39.37,799,0.17,75.52,0.4,253,0.9
2021,1,1,16,0,-10.700000000000001,-0.2,7,68,44.9,799,0.17,80.15,0.4,252,1
2021,1,1,16,30,-10.700000000000001,-0.2,4,23,44.9,799,0.17,85.07000000000001,0.4,252,1
2021,1,1,17,0,-12.8,-2.3000000000000003,7,0,44.37,799,0.18,89.99,0.4,260,1.2000000000000002
2021,1,1,17,30,-12.8,-2.7,7,0,45.76,800,0.18,95.91,0.4,266,1.2000000000000002
2021,1,1,18,0,-12.9,-3.1,7,0,46.62,800,0.18,101.56,0.5,272,1.2000000000000002
2021,1,1,18,30,-12.9,-3.4000000000000004,4,0,47.68,800,0.18,107.34,0.5,280,1.1
